MKT,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,IND_SEC,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,EID PARRY INDIA LTD,       426.45,       425.00,       434.30,       413.00,       415.00,                374427271.90,888664,N, ,18304,       470.30,       257.35
N,EIH ASSOCIATED HOTELS LTD,       352.80,       354.80,       354.85,       349.25,       352.05,                  1938974.80,5504,N, ,277,       397.70,       205.35
N,EIH LIMITED,       111.95,       112.50,       112.50,       110.50,       111.15,                 19337664.55,173792,N, ,3251,       121.25,        59.30
N,EIMCO ELECON (INDIA) LTD,       406.10,       410.90,       425.95,       395.00,       410.40,                 18414767.75,44739,N, ,2723,       438.90,       268.95
N,ELECON ENG. CO. LTD,       136.80,       138.40,       139.40,       134.00,       137.95,                103507670.30,756309,N, ,10463,       142.80,        21.45
N,ELECTROSTEEL CASTINGS LTD,        37.15,        37.50,        38.00,        37.15,        37.80,                 19906333.60,529580,N, ,2052,        40.35,        14.00
N,ELECTROTHERM (I) LTD.,       169.95,       170.10,       173.90,       165.75,       168.25,                  5197653.30,30529,N, ,863,       198.80,        88.00
N,ELGI EQUIPMENTS LTD,       206.90,       207.10,       209.00,       206.30,       208.15,                  8416985.45,40608,N, ,1574,       258.30,       101.30
N,ELGI RUBBER CO. LTD,        37.80,        37.80,        38.55,        37.50,        37.85,                  3328659.35,87365,N, ,341,        41.75,        15.30
N,EMAMI LIMITED,       560.35,       562.55,       574.00,       550.30,       561.50,                381094033.00,674464,N, ,22787,       574.00,       204.50
N,EMAMI PAPER MILLS LIMITED,       158.70,       160.00,       163.00,       154.05,       155.40,                 17139755.90,107761,N, ,2738,       181.00,        62.35
N,EMAMI REALTY LIMITED,        64.65,        65.00,        66.45,        61.00,        64.40,                  9992595.85,154679,N, ,1780,        74.00,        30.30
N,EMBASSY OFFICE PARKS REIT,       350.38,       352.98,       352.98,       346.00,       346.68,                 45618446.00,130800,N, ,354,       395.00,       285.00
N,EMKAY GLOBAL FIN SERV LTD,        90.50,        91.00,        92.70,        87.15,        87.70,                 18797849.00,209699,N, ,2898,        94.55,        41.60
N,EMKAY TAP & CUT. TOOL LTD,       114.45,       120.15,       120.15,       120.15,       120.15,                   144180.00,1200,N, ,2,       136.50,        58.65
N,EMMBI INDUSTRIES LIMITED,       101.10,       103.25,       103.45,        99.20,        99.95,                  3078414.55,30552,N, ,945,       110.40,        61.75
N,ENDURANCE TECHNO. LTD.,      1625.25,      1636.85,      1715.55,      1632.00,      1650.55,                642451039.50,383674,N, ,21772,      1715.55,       846.05
N,ENERGY DEVE. CO.LTD,        13.50,        13.50,        13.50,        12.85,        12.85,                   953976.00,73808,N, ,258,        16.55,         4.60
N,ENGINEERS INDIA LTD,        79.60,        79.85,        79.95,        78.80,        78.95,                104206315.00,1314154,N, ,15884,        93.30,        60.40
N,ENTERTAIN NET. IND. LTD.,       174.85,       178.50,       178.50,       169.95,       172.60,                 32204410.40,184480,N, ,10770,       212.00,       120.10
N,EPL LIMITED,       280.00,       282.30,       284.05,       276.00,       278.95,                133208544.80,477415,N, ,8433,       318.60,       174.10
N,EQUITAS HOLDINGS LIMITED,        94.00,        94.00,        94.00,        92.00,        92.45,                 65181199.75,701204,N, ,8083,       101.90,        40.20
N,EQUITAS SMALL FIN BNK LTD,        58.95,        58.85,        59.50,        58.50,        58.90,                  9892857.00,167730,N, ,2495,        68.25,        30.05
N,ERIS LIFESCIENCES LIMITED,       707.50,       708.00,       782.00,       696.00,       768.25,               1035578907.35,1376274,N, ,49818,       782.00,       400.80
N,EROS INTL MEDIA LTD,        26.75,        27.00,        27.45,        25.70,        25.95,                 16738512.15,635350,N, ,2804,        36.85,        16.75
N,ESAB INDIA LTD,      1839.70,      1869.00,      1873.95,      1831.15,      1844.75,                  7694486.95,4156,N, ,1025,      2150.00,      1290.00
N,ESCORTS INDIA LTD,      1220.10,      1235.85,      1241.85,      1197.55,      1200.85,               3559584569.40,2930696,N, ,76161,      1468.45,      1002.20
N,ESTER INDUSTRIES LTD,       135.65,       135.70,       137.95,       132.20,       133.30,                 30009892.35,222196,N, ,3912,       159.00,        47.20
N,EVEREADY INDS. IND.  LTD.,       309.50,       310.70,       313.90,       305.15,       310.25,                 69028730.95,222584,N, ,4643,       349.90,        80.00
N,EVEREST INDUSTRIES LTD,       374.15,       376.65,       381.55,       371.20,       376.10,                 20898628.10,55576,N, ,2020,       429.00,       193.15
N,EXCEL INDUSTRIES LTD,      1066.05,      1070.00,      1098.00,      1066.05,      1077.20,                 17187449.60,15853,N, ,2808,      1211.50,       680.00
N,EXIDE INDUSTRIES LTD,       182.35,       181.80,       183.00,       181.05,       181.90,                249972869.80,1372193,N, ,16628,       219.30,       145.80
N,EXPLEO SOLUTIONS LIMITED,       812.40,       820.00,       828.95,       791.10,       816.20,                 50378891.90,62190,N, ,8310,       869.80,       261.55
N,FACT LTD,       138.05,       137.95,       141.00,       136.00,       139.90,                 63836982.25,461624,N, ,6457,       153.00,        41.20
N,FAIRCHEM ORGANICS LIMITED,      1468.80,      1470.00,      1519.95,      1470.00,      1507.20,                 42591732.00,28328,N, ,1921,      1691.90,       580.30
