SYMBOL,SERIES,SECURITY,HIGH/LOW,INDEX FLAG
SUMEETINDS,BE,SUMEET IND LIMITED,H
SURANAT&P,EQ,SURANA TELECOM AND POW LT,H
SURYALAXMI,BE,SURYALAKSHMI COT MIL LTD,H
SUULD,EQ,SUUMAYA INDUSTRIES LTD,H
SUZLON,EQ,SUZLON ENERGY LIMITED,H
TANTIACONS,BZ,TANTIA CONST LTD,H
TARAPUR,BE,TARAPUR TRANSFORMERS LTD,H
TECHIN,BE,TECHINDIA NIRMAN LIMITED,H
TEXMOPIPES,EQ,TEXMO PIPE & PRODUCTS LTD,H
THOMASCOTT,BE,THOMAS SCOTT (INDIA) LTD,H
TIJARIA,EQ,TIJARIA POLYPIPES LTD,H
TIRUPATIFL,BE,TIRUPATI FORGE LIMITED,H
TNTELE,BE,TAMILNADU TELECOMMUNICATI,H
TRANSWIND,SM,TRANSWIND INFRA LIMITED,H
TREEHOUSE,BE,TREE HOUSE EDU LTD,H
TTML,BE,TATA TELESERV(MAHARASTRA),H
UNIVASTU,EQ,UNIVASTU INDIA LIMITED,H
URJAPP,X1,URJA RS.0.25 PPD UP,H
VARDMNPOLY,EQ,VARDHMAN POLYTEX LTD.,H
VICEROY,BZ,VICEROY HOTELS LIMITED,H
VISHNU,EQ,VISHNU CHEMICALS LIMITED,H
WEBELSOLAR,EQ,WEBSOL ENERGY SYSTEM LTD,H
WFL,SM,WONDER FIBROMATS LIMITED,H
WINDMACHIN,EQ,WINDSOR MACHINES LIMITED,H
ZEEMEDIA,EQ,ZEE MEDIA CORPORATION LTD,H
ZENITHEXPO,BE,ZENITH EXPORTS LTD,H
A2ZINFRA,BE,A2Z INFRA ENGINEERING LTD,L
AARVEEDEN,BE,AARVEE DEN. & EXP. LTD,L
ADANIGREEN,BE,ADANI GREEN ENERGY LTD,L
ADANIPOWER,BE,ADANI POWER LTD,L
ADANITRANS,BE,ADANI TRANSMISSION LTD,L
AILIMITED,ST,ABHISHEK INTEGRATIONS LTD,L
AIRAN,BE,AIRAN LIMITED,L
ALPA,BE,ALPA LABORATORIES LTD,L
ALPSINDUS,BE,ALPS INDUSTRIES LTD.,L
ANDHRACEMT,BE,ANDHRA CEMENTS LIMITED,L
ANKITMETAL,BE,ANKIT MET & POW LTD,L
ARIHANT,BE,ARIHANT FOUN & HOU LTD,L
ARROWGREEN,BE,ARROW GREENTECH LIMITED,L
ARVEE,BE,ARVEE LABORATORIES I LTD,L
ATGL,BE,ADANI TOTAL GAS LIMITED,L
BAGFILMS,BE,B.A.G FILMS AND MEDIA LTD,L
BALLARPUR,BZ,BALLARPUR INDUSTRIES LTD,L
BARTRONICS,BZ,BARTRONICS INDIA LIMITED,L
BEARDSELL,BE,BEARDSELL LIMITED,L
BHARATWIRE,EQ,BHARAT WIRE ROPES LTD.,L
BRIGHT,SM,BRIGHT SOLAR LIMITED,L
BROOKS,EQ,BROOKS LAB LIMITED,L
BVCL,BE,BARAK VALLEY CEM. LTD.,L
BYKE,BE,THE BYKE HOSPITALITY LTD,L
CALSOFT,BE,CALIFORNIA SOFTWARE CO LT,L
CANDC,BZ,C&C CONST. LTD,L
CCCL,BE,CONS. CONST. CONSORT LTD,L
CCHHL,BE,COUNTRY CLUB HOSP HOL LTD,L
CELEBRITY,EQ,CELEBRITY FASHIONS LTD,L
CLEDUCATE,EQ,CL EDUCATE LIMITED,L
CMMIPL,SM,CMM INFRAPROJECTS LIMITED,L
COMPUSOFT,BE,COMPUCOM SOFTWARE LTD,L
CORDSCABLE,EQ,CORDS CABLE INDUS LTD.,L
COUNCODOS,BE,COUNTRY CONDO'S LIMITED,L
COX&KINGS,BZ,COX & KINGS LIMITED,L
DCMNVL,EQ,DCM NOUVELLE LIMITED,L
DHANIPP,E1,DHANI RS.1.10 PPD UP,L
DIAPOWER,BZ,DIAMOND POWER INFRA LTD,L
DNAMEDIA,EQ,DILIGENT MEDIA CORP LTD.,L
DUCON,BE,DUCON INFRATECHNOLOGIES L,L
EASTSILK,BE,EASTERN SILK INDUSTRIES L,L
EDUCOMP,BZ,EDUCOMP SOLUTIONS LTD,L
EKC,BE,EVEREST KANTO CYLINDERLTD,L
EMCO,BZ,EMCO LIMITED,L
ENERGYDEV,EQ,ENERGY DEVE. CO.LTD,L
EXCEL,BE,EXCEL REALTY N INFRA LTD,L
FCSSOFT,BE,FCS SOFTWARE SOLN. LTD.,L
FILDF2GPD,MF,FRANTEMAMC - FILDF2GPD,L
GAL,BE,GYSCOAL ALLOYS LTD,L
GAMMNINFRA,EQ,GAMMON INFRA PROJ LTD.,L
GAYAHWS,BE,GAYATRI HIGHWAYS LIMITED,L
GODHA,BE,GODHA CABCON INSULAT LTD,L
GOENKA,BZ,GOENKA DIAMOND&JEWELS LTD,L
GOLDENTOBC,EQ,GOLDEN TOBACCO LIMITED,L
HCL-INSYS,EQ,HCL INFOSYSTEMS LTD,L
HOVS,EQ,HOV SERVICES LTD,L
INDLMETER,EQ,IMP POWERS LTD,L
