MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,YK,SRTRANSFIN,SEC RED NCD 9.30% SR. IV,      1039.88,      1022.35,      1022.35,      1022.35,      1022.35,                   102235.00,100, ,1,      1110.80,       940.00
N,YL,SRTRANSFIN,SEC RED NCD 9.40% SR. V,      1053.94,      1040.00,      1050.00,      1040.00,      1050.00,                   120250.00,115, ,4,      1247.00,       921.50
N,YN,SRTRANSFIN,SEC RED NCD SR. VII,      1333.00,      1340.00,      1340.00,      1340.00,      1340.00,                   235840.00,176, ,5,      1340.00,      1065.00
N,YO,SRTRANSFIN,SEC RED NCD 9.12% SR. I,      1022.10,      1030.00,      1039.00,      1030.00,      1030.00,                    37125.00,36, ,12,      1110.00,       956.00
N,YQ,SRTRANSFIN,SEC RED NCD 9.40% SR. III,      1060.11,      1062.00,      1062.01,      1062.00,      1062.01,                   150804.42,142, ,4,      1079.80,       992.43
N,YR,SRTRANSFIN,SEC RED NCD 9.50% SR. IV,      1083.97,      1083.90,      1083.90,      1083.90,      1083.90,                    34684.80,32, ,1,      1089.90,       895.20
N,YT,SRTRANSFIN,SEC RED NCD SR. VI,      1268.00,      1270.05,      1270.05,      1268.00,      1270.00,                   846429.50,667, ,9,      1270.05,      1099.99
N,YV,SRTRANSFIN,SEC RED NCD 9.12% SR. I,      1040.00,      1033.00,      1033.00,      1033.00,      1033.00,                     1033.00,1, ,1,      1150.00,       951.05
N,YX,SRTRANSFIN,SEC RED NCD 9.40% SR. III,      1032.15,      1054.40,      1054.40,      1054.40,      1054.40,                     1054.40,1, ,1,      1098.94,       977.30
N,Z1,SRTRANSFIN,SEC RED NCD SR. VI,      1244.05,      1244.10,      1244.10,      1244.10,      1244.10,                    18661.50,15, ,1,      1256.26,      1011.00
N,ZA,SRTRANSFIN,SEC RED NCD SR.VIII,      1191.00,      1192.92,      1192.92,      1192.92,      1192.92,                    59646.00,50, ,1,      1380.50,       876.00
N,ZD,SRTRANSFIN,SEC RED NCD 8.52% SR.I,      1015.00,      1015.00,      1015.00,      1015.00,      1015.00,                     2030.00,2, ,1,      1172.00,       840.00
N,ZG,SRTRANSFIN,SEC RED NCD 8.85% SR.IV,      1045.00,      1042.00,      1042.00,      1042.00,      1042.00,                    52100.00,50, ,1,      1098.85,       901.25
N,ZK,SRTRANSFIN,SEC RED NCD SR.VIII,      1105.00,      1135.25,      1135.25,      1135.25,      1135.25,                    11352.50,10, ,1,      1200.00,       900.00
