SERIES,SYMBOL,SECURITY,RECORD_DT,BC_STRT_DT,BC_END_DT,EX_DT,ND_STRT_DT,ND_END_DT,PURPOSE
EQ,ICRA,ICRA Limited, ,24/07/2021,28/07/2021,22/07/2021, , ,DIV - RS 27 PER SH       
EQ,GRINDWELL,Grindwell Norton Limited, ,22/07/2021,28/07/2021,19/07/2021, , ,AGM/DIV - RS 9.50 PER SH 
EQ,NILKAMAL,Nilkamal Limited, ,29/07/2021,04/08/2021,27/07/2021, , ,AGM/DIV - RS 10 PER SH   
EQ,ADANIENT,Adani Enterprises Limited,02/07/2021, , ,01/07/2021, , ,DIV - RE 1 PER SH        
EQ,TIDEWATER,Tide Water Oil Co. (India,27/07/2021, , ,26/07/2021, , ,BON1:1/FVSPLTFRMRS5TORS2 
EQ,TIDEWATER,Tide Water Oil Co. (India, ,21/07/2021,27/07/2021,19/07/2021, , ,DIV - RS 200 PER SH      
EQ,LUMAXTECH,Lumax Auto Technologies L, ,24/08/2021,31/08/2021,20/08/2021, , ,AGM/DIV - RS 3 PER SH    
EQ,PTL,PTL Enterprises Limited, ,05/07/2021,15/07/2021,01/07/2021, , ,AGM/DIV - RS 2.50 PER SH 
EQ,IGPL,IG Petrochemicals Ltd., ,17/07/2021,19/07/2021,15/07/2021, , ,AGM/DIV-RS 7.50 PER SH   
EQ,CERA,Cera Sanitaryware Limited, ,20/07/2021,27/07/2021,16/07/2021, , ,DIV - RS 13 PER SH       
EQ,NAVINFLUOR,Navin Fluorine Internatio, ,13/07/2021,16/07/2021,09/07/2021, , ,DIV - RS 6 PER SH        
EQ,NAUKRI,Info Edge (India) Limited, ,21/08/2021,27/08/2021,18/08/2021, , ,ANNUAL GENERAL MEETING   
EQ,SWELECTES,Swelect Energy Sys Ltd, ,20/07/2021,26/07/2021,16/07/2021, , ,AGM/DIV - RS 3 PER SH    
EQ,REDINGTON,Redington (India) Limited, ,05/08/2021,11/08/2021,03/08/2021, , ,AGM/DIVRS7.60/SPLDIVRS4  
EQ,APCOTEXIND,Apcotex Industries Ltd., ,03/07/2021,08/07/2021,01/07/2021, , ,AGM/DIV - RS 2 PER SH    
EQ,PFC,Power Finance Corporation,02/07/2021, , ,01/07/2021, , ,DIV - RS 2 PER SH        
EQ,NELCAST,Nelcast Limited, ,03/08/2021,09/08/2021,30/07/2021, , ,AGM/DIV - RS 0.20 PER SH 
EQ,INDIANB,Indian Bank,09/07/2021, , ,08/07/2021, , ,AGM/DIV - RS 2 PER SH    
EQ,MINDTREE,MindTree Limited, ,07/07/2021,13/07/2021,05/07/2021, , ,AGM/DIV - RS 17.50 PERSH 
EQ,COLPAL,Colgate Palmolive (India), ,23/07/2021,29/07/2021,20/07/2021, , ,ANNUAL GENERAL MEETING   
EQ,SUBEXLTD,Subex Ltd,02/07/2021, , ,01/07/2021, , ,AGM/DIV - RS 0.25 PER SH 
EQ,JYOTHYLAB,Jyothy Labs Limited, ,23/07/2021,30/07/2021,20/07/2021, , ,AGM/DIV - RS 4 PER SH    
EQ,RANEENGINE,Rane Engine Valve Limited,15/07/2021, , ,14/07/2021, , ,ANNUAL GENERAL MEETING   
EQ,ZYDUSWELL,Zydus Wellness Limited, ,16/07/2021,23/07/2021,14/07/2021, , ,AGM/DIV - RS 5 PER SH    
EQ,VINYLINDIA,Vinyl Chemicals (India) L, ,06/08/2021,12/08/2021,04/08/2021, , ,AGM/DIV-RS 3.75 PER SH   
EQ,ASTEC,Astec LifeSciences Ltd, ,24/07/2021,27/07/2021,22/07/2021, , ,AGM/DIV - RS 1.50 PER SH 
EQ,UBL,United Breweries Limited, ,03/07/2021,09/07/2021,01/07/2021, , ,AGM/DIV-RS 0.50 PER SH   
