MARKET,SERIES,SYMBOL,SECURITY,PREVIOUS CLOSE PRICE,OPEN PRICE,HIGH PRICE,LOW PRICE,CLOSE PRICE,NET TRADED VALUE,NET TRADED QTY,TRADES,52 WEEK HIGH,52 WEEK LOW,UNDERLYING
N,EQ,EBBETF0431,EDELAMC - EBBETF0431,      1040.82,      1041.45,      1041.45,      1040.15,      1041.04,                 10766226.86,10342,172,      1106.00,       972.00,NIFTY BHARAT BOND
N,EQ,EQ30,EDEL ETF NIFTY 100 QUAL30,       380.04,       417.80,       417.80,       378.01,       380.92,                   199908.97,519,148,       448.13,       276.10,NIFTY QUALITY 30
N,EQ,GOLDBEES,NIP IND ETF GOLD BEES,        40.52,        41.17,        41.17,        40.75,        40.91,                155773177.30,3813939,29209,        51.50,        35.80,GOLD
N,EQ,GOLDSHARE,UTI GOLD ETF,        40.65,        41.15,        41.15,        40.80,        41.00,                  3788845.80,92488,494,      5374.80,        36.30,GOLD
N,EQ,HBANKETF,HDFCAMC - HBANKETF,       347.79,       346.65,       350.25,       346.04,       347.54,                  2038978.63,5861,83,       384.20,       200.10,NIFTY BANK INDEX
N,EQ,HDFCMFGETF,HDFC GOLD ETF,        41.58,        42.09,        42.19,        41.85,        42.02,                 13995159.50,333464,1078,      5338.50,        36.60,GOLD
N,EQ,HDFCNIFETF,HDFCAMC - HDFCNIFETF,       167.62,       168.90,       168.90,       164.50,       167.39,                  2224260.05,13285,309,      1900.00,       145.70,NIFTY
N,EQ,HDFCSENETF,HDFCAMC - HDFCSENETF,       562.12,       566.99,       566.99,       561.22,       562.96,                  1183308.64,2101,149,      6300.00,       455.00,SENSEX
N,EQ,HNGSNGBEES,NIP IND ETF HANGSENG BEES,       355.99,       369.32,       369.32,       352.70,       355.32,                   426251.94,1191,190,       398.00,       269.10,HANG SENG INDEX
N,EQ,IBMFNIFTY,IBULLSAMC - IBMFNIFTY,       156.99,       155.95,       157.90,       155.52,       156.90,                    25581.62,163,33,       174.00,       110.33,NIFTY 50
N,EQ,ICICI500,ICICIPRAMC - ICICI500,       222.55,       225.38,       225.38,       221.41,       222.07,                  1165535.55,5240,188,       226.75,       134.92,S&P BSE 500 INDEX
N,EQ,ICICIALPLV,ICICIPRAMC - ICICIALPLV,       158.25,       158.00,       159.97,       158.00,       158.84,                   757598.33,4766,209,       182.84,        99.90,NIFTY ALPHA LOW-VOLATILITY 30 INDEX
N,EQ,ICICIB22,ICICIPRAMC - BHARATIWIN,        39.67,        39.65,        39.82,        39.41,        39.65,                  7282067.22,183657,2513,        40.90,        23.46,S&P BSE BHARAT 22 INDEX
N,EQ,ICICIBANKN,ICICIPRAMC - IPRU5008,       346.67,       357.70,       357.70,       344.66,       345.81,                  1738638.90,5016,228,       422.20,       192.10,NIFTY BANK
N,EQ,ICICIBANKP,ICICIPRAMC - ICICIBANKP,       180.38,       184.89,       186.50,       179.00,       180.13,                  5338274.82,29405,200,       218.00,       110.00,NIFTY PRIVATE BANK INDEX
N,EQ,ICICIGOLD,ICICI PRUDENTIAL GOLD ETF,        41.43,        44.44,        44.44,        41.66,        41.84,                  4556996.10,109044,1541,        54.10,        37.05,GOLD
N,EQ,ICICILIQ,ICICIPRAMC - ICICILIQ,      1000.00,      1000.00,      1002.00,       999.50,       999.99,                 55386978.82,55387,86,      1040.00,       984.00,S&P BSE LIQUID RATE INDEX
N,EQ,ICICILOVOL,ICICI PR NIF LW VL 30 ETF,       129.65,       134.70,       134.70,       127.26,       129.64,                 10567839.06,81355,1446,       137.70,        81.77,NIFTY 100 LOW VOLATILITY 30 INDEX
N,EQ,ICICIM150,ICICIPRAMC - ICICIM150,       104.33,       105.45,       107.70,       102.02,       102.78,                  3418585.59,33172,499,       118.90,        56.55,NIFTY MIDCAP 150
N,EQ,ICICIMCAP,ICICI PRUD MIDCAP SEL ETF,        93.53,        94.85,        94.85,        93.20,        94.02,                   601140.54,6389,365,       104.30,        51.40,S&P BSE MIDCAP SELECT INDEX
N,EQ,ICICINF100,ICICI PRUD NIFTY 100 ETF,       173.15,       174.50,       174.89,       172.04,       172.58,                   842978.37,4875,360,       193.50,       101.00,NIFTY 100
N,EQ,ICICINIFTY,ICICI PRUD NIFTY ETF,       168.18,       167.50,       169.95,       167.50,       167.93,                 16961838.88,100853,3926,       194.80,       102.70,NIFTY50
N,EQ,ICICINV20,ICICI PRUDENTIAL NV20 ETF,        85.33,        85.33,        85.99,        84.70,        85.05,                  1385947.27,16273,1976,        97.20,        47.15,NIFTY50 VALUE 20
